id;id_habilitation;cn_alex;siren;date_maj
1;49116;Cambridgeshire;67354;2022-08-21T13:00:16
2;6394;magenta;73608;2022-08-21T14:44:36
3;44576;primary;85288;2022-08-21T03:20:42
4;52168;intermediate Ingenieur one-to-one;29770;2022-08-20T20:28:57
5;29035;GB;81375;2022-08-21T13:38:48
6;42766;open-source Account Generic;74600;2022-08-21T06:34:00
7;78757;state;80738;2022-08-20T20:12:31
8;27520;EXE;72400;2022-08-20T15:31:46
9;58535;open-source;50418;2022-08-20T23:38:04
10;91027;gold;4468;2022-08-20T15:19:48
